"species","lon","lat","database"
"Amazona vinacea","-50.5306","-24.2783","Xeno-Canto"
"Amazona vinacea","-50.3845","-25.8681","Xeno-Canto"
"Amazona vinacea","-49.1212","-27.2042","Xeno-Canto"
"Amazona vinacea","-42.4832","-19.2204","Xeno-Canto"
"Amazona vinacea","-49.9345","-27.9514","Xeno-Canto"
"Amazona vinacea","-54.0999","-26.6301","Xeno-Canto"
"Amazona vinacea","-49.4122","-26.2457","Xeno-Canto"
"Amazona vinacea","-41.731431","-20.466098","Xeno-Canto"
"Amazona vinacea","-49.5848","-28.3286","Xeno-Canto"
"Amazona vinacea","-41.8141","-19.7323","Xeno-Canto"
"Amazona vinacea","-49.58","-27.83","Xeno-Canto"
"Amazona vinacea","-45.48","-22.686","Xeno-Canto"
"Amazona vinacea","-45.5031","-22.6681","Xeno-Canto"
"Amazona vinacea","-45.4732","-22.6774","Xeno-Canto"
"Amazona vinacea","-45.4534","-22.666","Xeno-Canto"
"Amazona vinacea","-53.2885","-26.3247","Xeno-Canto"
"Amazona vinacea","-41.7174","-19.7993","Xeno-Canto"
"Amazona vinacea","-42.8882","-20.79","Xeno-Canto"
"Amazona vinacea","-45.4964","-22.7008","Xeno-Canto"
"Amazona vinacea","-45.6001","-22.7167","Xeno-Canto"
"Amazona vinacea","-53.991","-26.519","Xeno-Canto"
"Amazona vinacea","-49.1573","-27.1073","Xeno-Canto"
"Amazona vinacea","-49.5","-28.13333","Xeno-Canto"
"Amazona vinacea","-45.591","-22.718","Xeno-Canto"
"Amazona vinacea","-44.6358","-22.7285","Xeno-Canto"
"Amazona vinacea","-53.9887","-26.519","Xeno-Canto"
"Amazona vinacea","-50.8079","-29.0066","Xeno-Canto"
"Amazona vinacea","-53.9834","-26.5167","Xeno-Canto"
"Amazona vinacea","-50.8666666667","-29.4166666667","Xeno-Canto"
"Amazona vinacea","-46.0309","-22.87","Xeno-Canto"
"Amazona vinacea","-49.0524","-25.3067","Xeno-Canto"
"Amazona vinacea","-49.6942","-26.6834","Xeno-Canto"
"Amazona vinacea","-50.6117","-29.4431","Xeno-Canto"
"Amazona vinacea","-54.122772","-26.635798","Xeno-Canto"
"Amazona vinacea","-42.5222","-20.6665","Xeno-Canto"
"Amazona vinacea","-40.6024","-17.5487","Xeno-Canto"
